6,3,4,6,5,7,4,3,6,6,7,3,7,6,4,3,3,4,3,
12,70,53,70,70,70,3,69,70,70,70,70,4,70,70,70,4,5,6,
7,70,70,70,70,70,70,70,70,3,70,70,3,70,70,6,3,70,7,
3,70,12,70,70,70,70,70,70,70,70,70,70,70,70,7,70,70,3,
6,3,11,70,70,3,70,70,70,70,69,70,70,70,70,70,70,70,4,
12,4,70,70,70,4,6,70,70,70,70,70,6,70,70,70,53,70,7,
3,70,70,70,70,70,70,69,70,70,4,3,4,70,70,70,70,70,3,
3,69,70,70,70,70,70,70,70,70,70,70,70,69,70,70,70,70,7,
60,59,60,59,60,59,60,60,59,60,59,60,60,59,59,59,60,59,60,
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,
68,68,67,67,68,67,68,45,54,54,54,46,68,68,68,68,68,68,67,
12,70,70,63,70,70,70,55,45,54,46,21,70,70,70,70,70,70,6,
6,3,70,70,70,70,70,70,61,54,62,70,70,70,70,70,6,70,5,
4,21,70,70,53,70,70,70,61,54,62,70,70,22,70,70,70,7,3,
3,70,70,70,4,7,23,70,61,54,62,70,70,4,5,70,53,70,4,
3,70,19,70,5,70,70,70,61,54,62,70,70,21,70,70,7,70,3,
7,70,69,70,70,70,70,19,61,54,62,53,3,70,70,70,70,70,5,
6,5,4,70,70,21,70,70,61,54,62,70,70,70,70,21,70,5,6,
3,4,3,19,5,4,19,4,61,54,62,3,19,4,5,3,4,4,7,

