tileswide 33
tileshigh 19
tilewidth 32
tileheight 32

layer 0
20,4,81,5,0,82,4,81,80,1,81,3,81,81,71,81,2,79,5,81,4,21,24,24,24,24,23,18,19,18,18,18,18,
22,25,24,20,8,80,71,3,81,9,82,81,5,0,82,3,10,21,24,25,24,23,18,18,18,18,18,18,18,18,18,19,18,
18,18,18,22,25,24,25,24,20,81,4,81,79,8,21,24,25,23,18,18,18,18,18,18,19,19,18,18,18,18,18,18,18,
19,18,19,19,18,18,18,18,22,25,24,25,24,25,23,18,18,18,18,19,18,19,19,18,18,18,18,18,18,18,18,18,18,
18,19,19,19,18,18,19,18,18,18,18,18,18,18,18,19,19,18,18,19,18,19,18,19,18,18,18,18,19,18,19,18,18,
18,19,19,19,19,18,18,19,18,18,19,19,18,18,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,
18,18,18,18,19,18,18,19,18,18,18,19,18,19,19,18,18,18,19,18,18,18,18,18,18,14,16,17,16,17,16,17,12,
17,17,15,18,18,18,18,18,19,18,18,18,18,19,18,18,18,18,18,18,14,17,16,17,16,12,81,82,81,82,4,5,0,
5,3,13,16,17,17,16,15,18,18,18,18,18,18,18,14,16,17,16,17,12,4,81,79,82,81,81,71,71,81,82,2,8,
0,4,3,50,55,51,80,13,16,17,16,17,16,16,17,12,80,81,82,3,5,81,82,81,81,71,71,81,71,81,5,10,3,
8,5,81,68,60,53,71,81,81,81,5,82,81,82,2,81,1,5,81,81,82,81,71,81,81,82,81,71,82,81,81,0,4,
2,81,71,52,61,53,82,79,3,4,5,81,82,0,10,5,9,3,0,50,55,54,54,55,54,55,54,51,81,81,81,8,1,
10,1,82,68,60,49,55,54,55,54,55,55,51,8,82,4,81,4,8,68,60,60,60,61,60,61,60,49,51,82,79,82,9,
5,9,82,52,60,60,61,60,60,60,61,60,49,54,54,55,54,54,55,48,61,57,63,62,63,56,60,61,69,81,81,0,3,
0,5,81,58,63,62,63,62,63,62,56,60,61,60,61,60,60,60,61,61,61,53,5,3,1,58,56,60,69,82,81,8,5,
8,81,80,81,2,81,71,81,82,0,58,62,63,63,62,62,56,60,57,63,62,59,81,4,9,4,52,60,69,80,71,4,1,
2,4,81,4,10,81,1,82,81,8,81,82,2,79,82,81,52,61,53,81,71,82,2,5,4,2,58,63,59,2,81,4,9,
10,0,81,1,4,0,9,81,1,5,0,1,10,2,81,81,52,60,53,81,81,5,10,1,5,10,0,71,82,10,71,79,2,
3,8,4,9,3,8,5,4,9,3,8,9,3,10,71,81,52,61,53,79,81,5,3,9,3,5,8,3,5,4,5,5,10,

