tileswide 33
tileshigh 19
tilewidth 32
tileheight 32

layer 0
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,27,28,29,40,40,40,40,40,40,40,40,40,40,40,
40,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,27,28,29,39,5,39,39,39,39,39,39,39,39,40,
40,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,5,27,28,29,39,39,39,39,39,39,39,39,39,39,40,
40,39,39,39,39,39,5,39,39,39,39,40,39,39,39,39,34,39,39,27,28,29,39,39,39,0,1,1,2,39,39,39,40,
40,39,39,39,39,34,39,39,39,39,39,39,39,39,39,39,39,39,39,27,28,29,39,0,1,15,9,9,14,1,1,2,40,
40,39,39,39,39,39,39,39,39,39,39,34,39,39,5,39,39,39,39,27,28,29,39,16,17,7,9,9,9,9,9,10,40,
40,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,27,28,29,39,39,39,16,17,7,9,6,17,18,40,
40,39,5,39,39,40,39,39,39,22,20,20,20,20,20,20,20,20,20,19,28,29,39,5,39,40,39,16,17,18,39,39,40,
40,39,39,39,39,39,39,39,39,27,28,28,28,28,28,28,28,28,28,28,28,29,39,39,39,39,39,39,39,39,39,39,40,
20,20,20,20,20,20,20,20,20,19,28,37,26,26,26,26,26,26,26,35,28,29,39,39,39,39,39,39,39,5,39,34,40,
28,28,28,28,28,28,28,28,28,28,28,29,39,39,39,39,39,39,39,27,28,21,20,20,20,20,20,20,20,20,23,39,40,
26,26,26,26,26,26,26,26,26,26,26,31,39,39,39,39,40,39,39,27,28,28,28,28,28,28,28,28,28,28,29,39,40,
40,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,27,28,37,26,26,26,26,26,26,35,28,29,39,40,
40,39,39,39,39,39,39,39,39,39,5,39,39,39,39,39,39,39,39,27,28,29,39,39,39,39,39,39,27,28,21,25,20,
40,39,39,39,39,39,39,34,39,39,39,39,39,39,39,34,39,39,39,27,28,29,39,39,5,39,39,39,27,28,28,28,28,
40,39,39,39,5,39,39,39,39,39,40,39,39,39,39,39,39,39,39,27,28,29,39,39,39,39,34,39,30,26,26,26,26,
40,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,5,39,39,27,28,29,39,39,39,39,39,39,39,39,5,39,40,
40,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,27,28,29,39,39,39,39,39,39,39,39,39,39,40,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,27,28,29,40,40,40,40,40,40,40,40,40,40,40,

