3,6,11,12,11,5,4,7,3,11,7,12,3,4,6,3,5,12,3,
11,12,70,53,70,11,4,5,11,21,20,70,5,5,70,24,70,20,4,
4,70,47,59,48,5,7,70,47,59,60,59,59,59,60,59,48,70,11,
3,70,61,54,62,24,6,11,61,54,54,54,54,54,54,54,62,70,4,
12,21,61,54,62,70,6,5,61,54,46,67,67,67,45,54,62,70,6,
11,70,61,54,62,7,3,24,61,54,62,20,4,24,61,54,62,24,3,
7,70,61,54,62,5,12,11,61,54,62,70,3,12,61,54,62,70,4,
3,69,61,54,62,69,3,70,61,54,62,70,6,5,61,54,62,70,12,
60,59,37,54,62,70,7,7,61,54,62,70,4,11,61,54,38,60,59,
54,54,54,54,62,70,5,70,61,54,62,11,3,24,61,54,54,54,54,
68,68,45,54,62,11,4,70,61,54,62,7,6,70,61,54,46,68,67,
7,70,61,54,62,5,3,70,61,54,62,12,3,11,61,54,62,70,7,
12,21,61,54,62,70,4,7,61,54,62,70,3,5,61,54,62,70,4,
6,70,61,54,62,24,12,69,61,54,62,21,6,70,61,54,62,70,11,
3,70,61,54,38,59,59,59,37,54,62,70,4,70,61,54,62,70,3,
7,53,61,54,54,54,54,54,54,54,62,11,3,7,61,54,62,70,12,
12,70,55,67,67,67,68,67,67,67,56,70,3,70,55,67,56,20,6,
3,11,70,24,70,70,3,70,21,70,53,5,4,70,69,70,24,70,3,
4,7,3,7,4,11,7,12,11,7,6,4,3,7,4,12,7,3,4,

