6,6,4,5,5,7,4,3,4,3,5,3,7,6,4,3,4,4,3,
3,70,41,58,57,57,58,57,58,42,70,70,70,70,70,70,70,12,6,
7,25,27,13,14,13,13,14,13,44,70,70,70,12,70,70,70,70,3,
3,51,14,13,13,13,13,13,13,44,70,70,70,70,70,70,70,70,4,
6,51,13,13,13,13,14,13,36,50,70,70,70,70,70,70,12,70,7,
6,33,35,14,13,13,13,36,50,70,70,70,12,70,70,70,70,70,7,
7,70,49,65,65,66,65,50,70,70,70,70,70,70,70,70,70,70,3,
3,70,70,70,70,70,70,47,60,59,59,48,70,70,70,12,70,70,3,
7,70,70,70,70,70,70,61,54,54,54,38,60,59,59,59,60,59,60,
6,70,70,70,70,70,70,61,54,54,54,54,54,54,54,54,54,54,54,
3,70,11,4,11,70,70,61,54,54,54,46,68,68,68,68,68,68,67,
3,70,70,3,70,70,70,55,67,68,67,56,70,70,70,70,70,11,6,
6,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,3,4,5,
4,70,70,70,70,3,70,70,70,70,70,70,70,70,70,70,70,4,3,
7,4,3,70,70,11,70,70,70,70,70,70,70,70,70,70,70,3,4,
3,6,70,70,70,70,70,70,3,3,70,70,70,70,70,70,70,4,7,
7,70,70,70,3,70,70,70,6,70,70,70,70,70,3,70,70,70,5,
5,70,70,70,4,6,70,70,70,70,70,70,70,4,70,70,70,11,3,
3,4,3,7,5,4,5,4,7,4,4,3,7,5,5,3,4,4,7,

